n,method,residue,error,iterations
3,Gauss,4.440892098500626e-16,3.1401849173675503e-16,
4,Gauss,9.930136612989092e-16,5.438959822042073e-16,
5,Gauss,2.808666774861361e-15,4.1540741810552243e-16,
6,Gauss,2.3914935841127266e-15,2.8543745438774784e-15,
7,Gauss,5.773159728050814e-15,5.749626275630272e-15,
8,Gauss,3.3009303617866928e-15,2.2589696723613665e-15,
9,Gauss,8.09169049910734e-15,2.4650951625709315e-15,
10,Gauss,6.6018607235733855e-15,2.7487830685268716e-15,
11,Gauss,6.720289191984444e-15,4.124295487574583e-15,
12,Gauss,1.1287206748934539e-14,1.2658490090568385e-15,
13,Gauss,1.131338507574586e-14,6.538073133704117e-15,
14,Gauss,7.286988382225496e-15,5.979764687633718e-15,
15,Gauss,1.0672009800936447e-14,1.870981097424087e-15,
16,Gauss,1.6461279444302545e-14,1.391681278825732e-14,
17,Gauss,1.0518447697129405e-14,2.032041781255059e-15,
18,Gauss,1.2599930840116887e-14,3.4255373250283743e-15,
19,Gauss,1.699765591301329e-14,1.3870680560535533e-14,
20,Gauss,1.8524429647660954e-14,4.047368248007596e-15,
21,Gauss,2.1874492972938137e-14,1.0154748222105713e-14,
22,Gauss,2.2618052458950265e-14,5.961184327789048e-15,
23,Gauss,3.9851903561012014e-14,2.369201367380329e-14,
24,Gauss,3.541037148702055e-14,4.240703178567235e-15,
25,Gauss,3.252479783029215e-14,3.158911311274262e-14,
26,Gauss,4.2275450140534027e-14,1.1450915840652443e-14,
27,Gauss,3.351623381340333e-14,3.297362383136715e-14,
28,Gauss,4.7426149495941685e-14,9.626984492135884e-15,
29,Gauss,3.870476953769839e-14,1.5392512546770045e-14,
30,Gauss,4.064811392900548e-14,1.0546534389844024e-14,
31,Gauss,4.1616632701514083e-14,1.5742919426878748e-13,
32,Gauss,4.4328912854992736e-14,1.377392637215886e-14,
33,Gauss,4.5392782294515533e-14,1.0893652921740287e-13,
34,Gauss,4.8550142994644037e-14,1.7034616811142943e-13,
35,Gauss,7.69864221545057e-14,4.8018140513225465e-14,
36,Gauss,5.317029498776362e-14,8.200160170420788e-14,
37,Gauss,5.252281966495971e-14,1.2890067034820866e-14,
38,Gauss,7.813951245311575e-14,1.8213749272149423e-14,
39,Gauss,5.983185429094565e-14,1.387156916558853e-14,
40,Gauss,6.84084797740554e-14,6.951095629092365e-15,
41,Gauss,7.744106027629295e-14,1.8572607699500128e-14,
42,Gauss,9.854378591910632e-14,2.7736251007694956e-14,
43,Gauss,6.637908244403474e-14,1.04496701199076e-14,
44,Gauss,8.694740519394045e-14,2.369663311149668e-13,
45,Gauss,9.088218138276776e-14,1.337392553842066e-14,
46,Gauss,8.162064900863901e-14,3.90359846545572e-14,
47,Gauss,1.0210672327827976e-13,9.335015049338196e-14,
48,Gauss,9.270089681888245e-14,5.5771222377493874e-14,
49,Gauss,1.0233727267088054e-13,2.462293462341408e-14,
50,Gauss,1.0776920660533162e-13,6.085551578305412e-14,
