n,method,residue,error,iterations
3,Gauss,2.220446049250313e-16,1.3907509956813866e-14,
3,Seidel,2.171313852673619e-11,5.0938013071978506e-09,957
4,Gauss,0.0,1.915587763607436e-13,
4,Seidel,1.2719790110876649e-09,9.903735483599098e-06,10000
5,Gauss,2.220446049250313e-16,2.8259920464149867e-11,
5,Seidel,1.14047874080654e-07,0.028254512200894567,10000
6,Gauss,1.1102230246251565e-16,5.580097764337494e-10,
6,Seidel,3.380946726079881e-07,0.020737209361089946,10000
7,Gauss,2.482534153247273e-16,1.9455430593815236e-08,
7,Seidel,2.2101621572908576e-07,0.020487009269199417,10000
8,Gauss,3.3306690738754696e-16,9.278194132029596e-07,
8,Seidel,5.4431300599468645e-08,0.03232382186834471,10000
9,Gauss,5.661048867003676e-16,1.6306878161480958e-05,
9,Seidel,1.5052624052994352e-07,0.04065095117724395,10000
10,Gauss,1.5700924586837752e-16,0.0009592575957767873,
10,Seidel,3.00295295629337e-07,0.04358236611913675,10000
11,Gauss,1.1102230246251565e-16,0.010185358697703494,
11,Seidel,4.6272140608940043e-07,0.041396479240734294,10000
12,Gauss,1.1102230246251565e-16,0.4407747350549724,
12,Seidel,5.851859988581513e-07,0.03693233024544774,10000
13,Gauss,6.377745716588144e-16,9.39497811901568,
13,Seidel,6.244081474864725e-07,0.034875692004570115,10000
14,Gauss,7.529898907871222e-16,19.242596286952338,
14,Seidel,5.708524392079776e-07,0.03813048583510247,10000
15,Gauss,9.867878089448544e-16,17.787082537835584,
15,Seidel,4.492194691384483e-07,0.04498193611256584,10000
16,Gauss,9.992007221626409e-16,26.994741366786727,
16,Seidel,3.063100528430196e-07,0.052454707434072136,10000
17,Gauss,8.005932084973442e-16,9.367926420457216,
17,Seidel,2.1433511911515672e-07,0.05888504109623565,10000
18,Gauss,3.210061615366513e-15,102.7637550004362,
18,Seidel,2.5181214506241127e-07,0.06368114823121607,10000
19,Gauss,1.7199501139797033e-15,125.27681954331557,
19,Seidel,3.663815616384448e-07,0.06675050281842622,10000
20,Gauss,1.2511578073120693e-15,45.7405015340152,
20,Seidel,4.958716527202303e-07,0.068205846078291,10000
21,Gauss,1.148423626505646e-15,62.308367524588675,
21,Seidel,6.238345961850102e-07,0.06826008231678556,10000
22,Gauss,2.6202204231231423e-15,86.98693586978052,
22,Seidel,7.452922564255426e-07,0.0672031923569692,10000
23,Gauss,1.8477793714103673e-15,59.5134717912813,
23,Seidel,8.565306783090103e-07,0.06540270307435897,10000
24,Gauss,4.346916593445525e-15,103.24043980235388,
24,Seidel,9.535088420235703e-07,0.06329987577069218,10000
25,Gauss,1.3057280082042018e-14,551.5230160283187,
25,Seidel,1.0321708345112355e-06,0.06138615392234728,10000
26,Gauss,2.6783770938487313e-15,119.23510328741203,
26,Seidel,1.0890468784898308e-06,0.06014859132263633,10000
27,Gauss,3.0687174936894776e-15,100.15964458023478,
27,Seidel,1.1217255972011358e-06,0.05998375069532908,10000
28,Gauss,3.837904664615001e-15,104.63764074234834,
28,Seidel,1.1291191191507421e-06,0.06110685094685843,10000
29,Gauss,2.4899706176923835e-15,87.43132869123589,
29,Seidel,1.1115466088734722e-06,0.06350729014952812,10000
30,Gauss,1.140129317395399e-14,312.9129982536873,
30,Seidel,1.070692515074773e-06,0.06698186163172791,10000
31,Gauss,1.184375911055346e-13,2392.6241174945862,
31,Seidel,1.0095056852097762e-06,0.07122095518694764,10000
32,Gauss,6.340423331895511e-14,2574.8618958911875,
32,Seidel,9.321133679713615e-07,0.07589500328197271,10000
33,Gauss,2.4037802752562536e-14,929.6789024773315,
33,Seidel,8.438370838418087e-07,0.08070946499156116,10000
34,Gauss,9.85537918881547e-15,330.55644337279824,
34,Seidel,7.51411464610681e-07,0.08542746050945942,10000
35,Gauss,4.806124569859041e-15,194.63116962185188,
35,Seidel,6.634729936334814e-07,0.08987217941582235,10000
36,Gauss,3.1319901176259867e-14,1444.6208345399111,
36,Seidel,5.910915068010905e-07,0.09392015221447625,10000
37,Gauss,1.2091964906571116e-13,6536.308165728133,
37,Seidel,5.471159159506121e-07,0.09749183530258307,10000
38,Gauss,3.643494191112748e-15,141.21142314300823,
38,Seidel,5.42045312545556e-07,0.1005424394223657,10000
39,Gauss,9.250230068122178e-15,210.42935134678498,
39,Seidel,5.776240933678762e-07,0.10305404883891482,10000
40,Gauss,5.405999569747456e-15,373.02926716485615,
40,Seidel,6.459921030443216e-07,0.10502924151987932,10000
41,Gauss,5.527059981188082e-14,2239.9634705387944,
41,Seidel,7.358639442790375e-07,0.10648610068764468,10000
42,Gauss,7.675809329230001e-15,424.92613321989603,
42,Seidel,8.377119074385008e-07,0.10745440744974423,10000
43,Gauss,3.087937206592611e-14,1679.7901786830082,
43,Seidel,9.449598761353635e-07,0.10797278892154138,10000
44,Gauss,1.1539330408447884e-13,6969.980836141744,
44,Seidel,1.0533631476000538e-06,0.10808661439522843,10000
45,Gauss,2.344253727844389e-14,1194.7916665520277,
45,Seidel,1.1602025447769599e-06,0.10784645386548675,10000
46,Gauss,2.6638875502784955e-14,1222.2443700449373,
46,Seidel,1.263705912317039e-06,0.10730693787423398,10000
47,Gauss,1.66162967242209e-14,396.38780993990036,
47,Seidel,1.3626853076834887e-06,0.10652587790984583,10000
48,Gauss,1.4778899253092826e-14,779.8357834612349,
48,Seidel,1.4563163634035922e-06,0.1055635236106165,10000
49,Gauss,7.843393695052852e-15,310.719652518494,
49,Seidel,1.5440041438591136e-06,0.10448184767135212,10000
50,Gauss,1.2531265855673069e-14,426.98402495462057,
50,Seidel,1.6253013393330928e-06,0.10334376277588579,10000
