n,method,residue,error,iterations
3,Gauss,0.0,0.0,
3,Jacobi,4.147076588000404e-10,2.4606217599244594e-11,27
3,Seidel,2.615589938704105e-11,2.3964776748771845e-12,12
4,Gauss,1.9860273225978185e-15,2.220446049250313e-16,
4,Jacobi,4.5681237776935466e-10,4.266171561957066e-11,44
4,Seidel,1.2725842180689974e-10,1.1180736282367147e-11,27
5,Gauss,9.930136612989092e-16,4.002966042486721e-16,
5,Jacobi,5.194230689615762e-10,3.5816547539349524e-11,37
5,Seidel,1.597224315429463e-10,1.2062814337061785e-11,24
6,Gauss,7.944109290391274e-15,2.482534153247273e-16,
6,Jacobi,5.811272455472849e-10,4.466853903582135e-11,24
6,Seidel,2.4087047463830975e-11,1.8054106321623916e-12,14
7,Gauss,1.381681363641722e-14,5.20740757162067e-16,
7,Jacobi,5.343031770968091e-10,3.4904450570146884e-11,24
7,Seidel,2.733883788644231e-10,1.3581779687844959e-11,14
8,Gauss,1.7763568394002505e-15,3.3306690738754696e-16,
8,Jacobi,4.750159567103174e-10,1.7962501151099103e-11,25
8,Seidel,5.3907855514107976e-11,3.2216266818404048e-12,15
9,Gauss,1.879919374704706e-14,5.978733960281817e-16,
9,Jacobi,6.631666543913111e-10,2.3209401874170908e-11,27
9,Seidel,4.618835614822155e-11,1.810936144078249e-12,15
10,Gauss,8.881784197001252e-15,6.280369834735101e-16,
10,Jacobi,5.387226284652236e-10,3.245228012832585e-11,28
10,Seidel,2.2136963056341966e-10,1.0594062152023448e-11,16
11,Gauss,1.5987211554602254e-14,8.455206652451151e-16,
11,Jacobi,6.468744426969583e-10,1.8600052932624844e-11,24
11,Seidel,2.1778975826034166e-10,1.0094769760053634e-11,14
12,Gauss,1.7763568394002505e-14,7.108895957933346e-16,
12,Jacobi,8.861489854714885e-10,2.5683794235587463e-11,21
12,Seidel,6.637013704749469e-11,2.1211776272293522e-12,14
13,Gauss,3.793260195561498e-14,1.2947314098277875e-15,
13,Jacobi,5.293714986266112e-10,1.5832738763675743e-11,20
13,Seidel,2.0441236856889279e-10,7.777663700116157e-12,14
14,Gauss,2.7519201823675253e-14,9.678699938266253e-16,
14,Jacobi,7.024956260087584e-10,1.9154790931447458e-11,21
14,Seidel,1.6770431642740622e-10,5.015310890316969e-12,13
15,Gauss,3.552713678800501e-14,1.0053497077208614e-15,
15,Jacobi,9.222561234976789e-10,2.156541192112687e-11,20
15,Seidel,3.946852150857613e-10,1.0145045431867262e-11,13
16,Gauss,3.412270059808006e-14,8.3820000221454525e-16,
16,Jacobi,4.82033617016154e-10,1.0618362900503707e-11,20
16,Seidel,4.655953490017226e-10,1.156563402974128e-11,13
17,Gauss,4.5496934130773415e-14,1.0648885158809838e-15,
17,Jacobi,1.1951123391040953e-09,2.6234988670321535e-11,22
17,Seidel,8.076358962105257e-11,2.1599143900406747e-12,14
18,Gauss,5.136098584586421e-14,9.155133597044475e-16,
18,Jacobi,3.7413802450025584e-10,9.50381739511351e-12,19
18,Seidel,1.8507809329883257e-10,4.0188256594917425e-12,13
19,Gauss,3.8428474007872526e-14,1.2262814116578437e-15,
19,Jacobi,1.0085794392601238e-09,1.6579121323529766e-11,19
19,Seidel,5.625518902706031e-10,1.3354538663957244e-11,13
20,Gauss,4.2780337774645346e-14,9.019494489765868e-16,
20,Jacobi,3.5213693689741303e-10,8.327467570134152e-12,19
20,Seidel,2.6721524684423717e-10,5.870360374053451e-12,14
21,Gauss,6.112319729142702e-14,1.1322097734007351e-15,
21,Jacobi,3.938124277521158e-10,6.0725051546626176e-12,20
21,Seidel,1.4148833713793775e-10,3.081938080627512e-12,13
22,Gauss,7.31548520675105e-14,1.2008898127460164e-15,
22,Jacobi,7.966356491824435e-10,1.4339059885367627e-11,19
22,Seidel,1.0258941118545665e-10,2.045907829079418e-12,13
23,Gauss,6.608429443751005e-14,1.1749496091904413e-15,
23,Jacobi,8.827885051980021e-10,1.1994897682175772e-11,19
23,Seidel,1.0114472512333619e-10,1.8700534867068025e-12,13
24,Gauss,6.703246762680666e-14,1.1905815549843721e-15,
24,Jacobi,1.1534139727387774e-09,1.803637491875915e-11,18
24,Seidel,1.590729486912442e-10,2.713271685335669e-12,12
25,Gauss,1.2084449957466568e-13,1.831026719408895e-15,
25,Jacobi,9.254477910520569e-10,1.5540322585539242e-11,18
25,Seidel,4.2276830026773065e-11,6.797907274916774e-13,13
26,Gauss,7.824040276299101e-14,1.5059797815742444e-15,
26,Jacobi,4.658906049395471e-10,6.8449508720207805e-12,18
26,Seidel,6.358232936759666e-10,9.226246249170548e-12,12
27,Gauss,8.496855303335876e-14,1.434724337481273e-15,
27,Jacobi,5.835849829938917e-10,1.0773828503632732e-11,18
27,Seidel,2.6768630829133854e-10,3.788833282677281e-12,13
28,Gauss,1.1868403567298506e-13,1.8477793714103673e-15,
28,Jacobi,4.707724246414553e-10,8.27353156849027e-12,18
28,Seidel,1.680135328970943e-10,2.5213874033610515e-12,12
29,Gauss,1.5089625962328982e-13,1.827657762149474e-15,
29,Jacobi,4.814014545051873e-10,5.4565843963470394e-12,17
29,Seidel,1.2465333130830135e-10,1.7527173380955374e-12,12
30,Gauss,1.2985642344529727e-13,2.025966904339278e-15,
